NUM_BO,ANO_BO,ID_DELEGACIA,NOME_DEPARTAMENTO,NOME_SECCIONAL,DELEGACIA,NOME_DEPARTAMENTO_CIRC,NOME_SECCIONAL_CIRC,NOME_DELEGACIA_CIRC,ANO,MES,FLAG_STATUS,RUBRICA,DESDOBRAMENTO,CONDUTA,LATITUDE,LONGITUDE,CIDADE,LOGRADOURO,NUMERO_LOGRADOURO,FLAG_STATUS,
298,2016,10004,DIRD-DEPTOIDENT.REG.DIV,DIV.POL.PORTO/AERO/PROT.TURIS-DECADE,06D.P.METROPOLITANO,DECAP,DEL.SEC.1CENTRO,03D.P.CAMPOSELISEOS,2016,2,C,Furto(art.155),NULL,OUTROS,-23.54795657,-46.63898783,S.PAULO,ESTAOMETROANHANGABA,0,C,
2405,2016,10102,DECAP,DEL.SEC.1CENTRO,02D.P.BOMRETIRO,DECAP,DEL.SEC.1CENTRO,03D.P.CAMPOSELISEOS,2016,4,C,Roubo(art.157),NULL,TRANSEUNTE,-23.54297063,-46.6442181,S.PAULO,RUADOAROUCHE,50,C,
4336,2016,10104,DECAP,DEL.SEC.1CENTRO,04D.P.CONSOLAO,DECAP,DEL.SEC.1CENTRO,12D.P.PARI,2016,9,C,Furtoqualificado(art.155_4o.),NULL,RESIDENCIA,-23.54022868,-46.62490775,S.PAULO,RUADAALFANDEGA,496,C,
6587,2016,10211,DECAP,DEL.SEC.6SANTOAMARO,11D.P.SANTOAMARO,DECAP,DEL.SEC.1CENTRO,01D.P.SE,2016,6,C,Furtoqualificado(art.155_4o.),NULL,TRANSEUNTE,-23.54741509,-46.63328231,S.PAULO,RUAGENERALCARNEIRO,123,C,
7524,2016,10226,DECAP,DEL.SEC.2SUL,26D.P.SACOMA,DECAP,DEL.SEC.2SUL,26D.P.SACOMA,2016,11,C,Roubo(art.157),NULL,VEICULO,-23.6113077,-46.60991623,S.PAULO,RUALINOGUEDES,305,C,
824,2016,10217,DECAP,DEL.SEC.2SUL,17D.P.DOUTORALDOGALIANO,DECAP,DEL.SEC.2SUL,17D.P.DOUTORALDOGALIANO,2016,3,C,Furto(art.155),NULL,VEICULO,-23.59926221,-46.60294793,S.PAULO,RUADOGRITO,200,C,
1023888,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DEMACRO,DEL.SEC.SANTOANDR,05D.P.SANTOANDR,2016,8,C,Furto(art.155),NULL,VEICULO,-23.62416518,-46.51596556,S.ANDRE,RUAAVINHAO,191,C,
1144131,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.1CENTRO,01D.P.SE,2016,9,C,Furto(art.155),NULL,INTERIORTRANSPORTECOLETIVO,-23.54436022,-46.63390505,S.PAULO,ESTAOMETROSOBENTO,0,C,
1262552,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DEMACRO,DEL.SEC.S.BERNARDODOCAMPO,01D.P.S.CAETANODOSUL,2016,9,C,Furto(art.155),NULL,INTERIORESTABELECIMENTO,-23.6112464,-46.57752435,S.CAETANODOSUL,RUASENADORVERGUEIRO,428,C,
110603,2017,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.1CENTRO,01D.P.SE,2016,12,C,Furto(art.155),NULL,TRANSEUNTE,-23.55698332,-46.62765108,S.PAULO,leopoldoaugustomiguez,510,C,
188284,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DEMACRO,DEL.SEC.SANTOANDR,06D.P.SANTOANDR,2016,2,C,Roubo(art.157),NULL,TRANSEUNTE,-23.68787778,-46.49849145,S.ANDRE,RUAANTUNESBRAGA,0,C,
5400,2016,30418,DEMACRO,DEL.SEC.OSASCO,05D.P.OSASCO,DEMACRO,DEL.SEC.OSASCO,06D.P.OSASCO,2016,9,C,Furto(art.155),NULL,VEICULO,-23.55113898,-46.77379393,OSASCO,RUALEONORMARIADASILVA,174,C,
8791,2016,30427,DEMACRO,DEL.SEC.CARAPICUIBA,01D.P.CARAPICUIBA,DEMACRO,DEL.SEC.CARAPICUIBA,01D.P.CARAPICUIBA,2016,9,C,Furto(art.155),NULL,INTERIORDEVEICULO,-23.52914526,-46.85196251,CARAPICUIBA,RUAGLIA,293,C,
1869,2016,120500,DEINTER7-SOROCABA,DEL.SEC.SOROCABA,DEL.SEC.SOROCABA,DECAP,DEL.SEC.8SAOMATEUS,41D.P.VILARICA,2016,2,C,Furtoqualificado(art.155_4o.),NULL,INTERIORDEVEICULO,NULL,NULL,S.PAULO,AVENIDAJOOXXIII,2537,C,
1087706,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DEMACRO,DEL.SEC.S.BERNARDODOCAMPO,01D.P.S.B.C-DROMARCASSIM,2016,8,C,Furto(art.155),NULL,INTERIORESTABELECIMENTO,-23.71106348,-46.54844417,S.BERNARDODOCAMPO,RUAJOOPESSOA,498,C,
803659,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DEMACRO,DEL.SEC.SANTOANDR,04D.P.SANTOANDR,2016,6,C,Furto(art.155),NULL,TRANSEUNTE,-23.63529258,-46.54614338,S.ANDRE,RUAMARIAORTIZ,398,C,
952726,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.3OESTE,93D.P.JAGUAR,2016,7,C,Furto(art.155),NULL,TRANSEUNTE,-23.54522149,-46.74753993,S.PAULO,RUABARTOLOMEURIBEIRA,33,C,
11394,2016,10374,DECAP,DEL.SEC.6SANTOAMARO,101D.P.JDIMIMBUIAS,DECAP,DEL.SEC.6SANTOAMARO,101D.P.JDIMIMBUIAS,2016,12,C,Roubo(art.157),NULL,TRANSEUNTE,-23.73288094,-46.68796219,S.PAULO,RUAAMBROSIODALZA,46,C,
6909,2016,10101,DECAP,DEL.SEC.1CENTRO,01D.P.SE,DECAP,DEL.SEC.1CENTRO,01D.P.SE,2016,12,C,Furto(art.155),NULL,TRANSEUNTE,-23.55650983,-46.62945638,S.PAULO,RUADOGLICERIO,450,C,
188,2016,10103,DECAP,DEL.SEC.1CENTRO,03D.P.CAMPOSELISEOS,DECAP,DEL.SEC.1CENTRO,03D.P.CAMPOSELISEOS,2016,1,C,Furto(art.155),NULL,TRANSEUNTE,-23.5424764,-46.64192812,S.PAULO,PRAADAREPUBLICA,0,C,
1039,2016,10108,DECAP,DEL.SEC.1CENTRO,08D.P.BRAS,DECAP,DEL.SEC.1CENTRO,12D.P.PARI,2016,2,C,Furtoqualificado(art.155_4o.),4o.Seocrimecometido:,CONDOMINIOCOMERCIAL,-23.53886529,-46.62013334,S.PAULO,RUASILVIOPENTEADO,39,C,
7401,2016,10108,DECAP,DEL.SEC.1CENTRO,08D.P.BRAS,DECAP,DEL.SEC.1CENTRO,08D.P.BRAS,2016,10,C,Furto(art.155),NULL,ESTABELECIMENTOCOMERCIAL,-23.55429533,-46.60210638,S.PAULO,RUAJAVARI,403,C,
2278,2016,10217,DECAP,DEL.SEC.2SUL,17D.P.DOUTORALDOGALIANO,DECAP,DEL.SEC.2SUL,17D.P.DOUTORALDOGALIANO,2016,8,C,Lesocorporal(art.129),NULL,NULL,-23.59382545,-46.60187148,S.PAULO,RUALABATUT,490,C,
6752,2016,10108,DECAP,DEL.SEC.1CENTRO,08D.P.BRAS,DECAP,DEL.SEC.1CENTRO,08D.P.BRAS,2016,9,C,Lesocorporalculposanadireodeveculoautomotor(Art.303),NULL,NULL,-23.55274458,-46.6159468,S.PAULO,AVENIDAALCANTARAMACHADO,147,C,
1327261,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.1CENTRO,08D.P.BRAS,2016,10,C,Furto(art.155),NULL,OUTROS,-23.54923107,-46.61334485,S.PAULO,RUAVISCONDEDEPARNAIBA,1253,C,
1499641,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.3OESTE,15D.P.DR.LUC.HBEIGUELMAN,2016,11,C,Roubo(art.157),NULL,TRANSEUNTE,-23.5748842,-46.68844272,S.PAULO,avenidafarialima,1800,C,
1616864,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.4NORTE,13D.P.CASAVERDE,2016,12,C,Furto(art.155),NULL,VEICULO,-23.50441733,-46.65692711,S.PAULO,RUAALFREDODACRUZ,1,C,
1356036,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.3OESTE,37D.P.CAMPOLIMPO,2016,10,C,Furto(art.155),NULL,TRANSEUNTE,-23.64042863,-46.77469091,S.PAULO,RUAJANUARIODACUNHABARBOSA,130,C,
132484,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DEMACRO,DEL.SEC.S.BERNARDODOCAMPO,04D.P.S.BERNARDODOCAMPO,2016,1,C,Furto(art.155),NULL,OUTROS,-23.8083083,-46.484206,S.BERNARDODOCAMPO,RodoviaCaminhodoMar,6825,C,
1577572,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.4NORTE,13D.P.CASAVERDE,2016,12,C,Roubo(art.157),NULL,TRANSEUNTE,-23.48489369,-46.65914196,S.PAULO,RUAABURA,156,C,
553881,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DEMACRO,DEL.SEC.OSASCO,04D.P.OSASCO,2016,5,C,Furto(art.155),NULL,TRANSEUNTE,-23.51060406,-46.77821801,OSASCO,AVENIDABRASIL,1361,C,
494716,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.6SANTOAMARO,47D.P.CAPAOREDONDO,2016,4,C,Furto(art.155),NULL,TRANSEUNTE,-23.69638249,-46.78686087,S.PAULO,RUAJOAODEALMADA,1116,C,
